sku,category_ids
etrade273,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Black"
etrade274,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Red"
etrade275,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Green"
etrade276,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Black"
etrade277,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Red"
etrade278,"rt - office supplies|Office Supplies|Desktop Accessories|Clipboards|A4 Size"
etrade279,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Ball Point Pens|Black"
etrade280,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Refill Ink|Ballpoint"
etrade281,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Permanent Markers|Chisel Tip"
etrade282,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Refill Leads|0.5mm"
etrade283,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Refill Leads|0.5mm"
etrade284,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Refill Leads|0.5mm"
